period_days,duration_hours,depth_ppm,planet_radius_re,snr,impact,stellar_teff_k,stellar_logg_cgs,stellar_radius_rsun,mag,fp_nt,fp_ss,fp_co,fp_ec
5.3694084,3.949,40.0,0.62,8.0,0.837,5753.0,4.538,0.869,13.786,0,0,0,0
17.83367834,4.5112,326.9,2.43,154.5,0.013,6407.0,4.268,1.337,9.364,0,0,0,0
359.1015,11.461,496.5,2.37,12.9,0.317,6373.0,4.438,1.047,14.821,1,0,0,1
84.6877524,10.0248,347.7,3.37,95.1,0.017,6688.0,4.062,1.79,11.642,0,0,0,0
25.8859397,4.548,217.1,1.66,16.1,0.922,5190.0,4.446,0.899,14.556,0,0,0,0
9.48803557,2.9575,615.8,2.26,35.8,0.146,5455.0,4.467,0.927,15.347,0,0,0,0
1.558544209,3.3727,225590.0,35.12,421.6,0.507,4868.0,4.582,0.708,14.498,0,1,0,0
529.39169,10.869,319.9,4.4,12.1,0.037,5283.0,3.699,2.504,13.156,0,0,0,0
44.9851885,4.164,617.8,2.09,12.7,0.664,5295.0,4.548,0.8,15.85,0,0,0,0
423.73074,19.4,834.9,2.48,12.1,0.37,5743.0,4.553,0.853,15.969,1,0,0,0
22.18332255,5.1364,748.1,2.78,70.3,0.024,5565.0,4.361,1.03,14.118,0,0,0,0
76.37924,0.645,276.3,1.73,5.7,0.7333,5451.0,4.404,0.936,13.717,0,0,0,0
3.115304946,4.88748,149520.0,61.66,1398.8,0.89,6367.0,4.419,1.087,14.154,0,1,0,0
42.559265547,3.36626,207990.0,51.86,950.0,0.775,5764.0,4.548,0.863,15.831,0,1,0,0
15.573637,5.326,468.1,2.94,24.7,0.946,6100.0,4.376,1.083,14.82,0,0,0,0
389.169027,3.759,513.3,15.36,7.7,0.2117,5075.0,3.031,6.918,13.443,1,0,0,0
0.306937807,0.5925,119.2,0.82,29.3,0.005,5088.0,4.58,0.741,14.409,0,1,0,0
0.706428634,1.75182,372130.0,47.64,1066.7,0.393,4429.0,4.569,0.736,15.159,0,1,0,0
409.87844,10.58,647.1,2.72,8.7,0.177,6167.0,4.444,1.064,15.731,0,0,0,0
5.93725628,3.639,115.6,0.86,17.1,0.351,5428.0,4.494,0.799,14.702,0,0,1,1
3.47148164,4.679,122.7,0.85,9.5,0.719,5297.0,4.626,0.716,15.795,0,0,1,1
69.64679311,3.71,,,,,,,,13.735,0,0,0,0
402.27493,15.67,294.5,1.73,11.1,0.668,6299.0,4.486,0.95,14.619,0,0,0,0
5.63252508,2.1448,634.4,2.04,70.9,0.455,5216.0,4.58,0.804,14.353,0,0,0,0
1.674690886,2.0179,527.4,29.78,118.6,1.212,6397.0,4.331,1.157,13.593,0,1,1,0
2.362348096,3.5979,724.7,89.55,103.6,1.219,5088.0,3.502,3.293,13.99,0,1,1,0
3.217518511,2.11481,14319.0,11.38,1287.4,0.638,5720.0,4.473,0.903,14.835,0,0,0,0
14.78767172,6.1191,781.8,3.46,39.4,0.021,5814.0,4.269,1.248,15.344,0,0,0,0
5.663604992,1.4283,163380.0,54.55,169.4,0.785,5780.0,4.438,1.0,17.93,0,1,0,0
7.77241144,5.272,286.9,1.69,18.9,0.317,6014.0,4.486,0.993,15.327,0,0,1,0
6.521209629,2.7975,760.4,2.54,69.8,0.514,5822.0,4.529,0.898,14.856,0,0,0,0
502.8356901,9.97,,,,,,,,15.195,0,0,0,0
12.89623554,2.625,426.6,2.55,32.9,0.973,6072.0,4.51,0.923,14.107,0,0,0,0
67.451045,8.9387,7062.8,36.7,205.4,1.01,4847.0,3.726,2.191,13.342,0,1,0,0
6.790120801,6.0437,2302.3,9.86,526.1,0.486,6372.0,3.954,2.001,12.128,0,0,0,0
1.166960319,1.6823,97.8,0.88,17.9,0.033,5632.0,4.537,0.904,14.391,0,0,0,0
538.4263,12.751,242.0,3.2,16.2,0.3917,5962.0,3.882,2.028,12.099,1,0,0,0
230.358183,2.031,1023.0,2.87,6.2,0.4159,5803.0,4.465,0.884,15.571,0,0,0,0
0.631795416,1.0703,145.2,1.88,24.7,0.433,6414.0,4.173,1.519,14.676,0,1,1,0
5.37493289,3.9567,155.8,2.12,49.0,0.228,6167.0,4.037,1.689,13.294,0,0,0,0
27.0965146,8.42,208.4,2.13,16.4,0.769,5775.0,4.193,1.352,14.886,0,0,0,0
4.48758768,2.874,112.0,1.37,25.9,0.532,6060.0,4.227,1.257,13.446,0,0,0,0
123.11494773,17.24,,,,,,,,9.473,0,0,0,0
91.95723,10.471,308.4,2.66,12.3,0.015,5854.0,4.114,1.528,14.876,0,0,0,0
10.0046881,2.389,50.6,1.9,8.3,0.0164,6620.0,3.779,2.641,11.856,1,0,0,0
14.42735088,4.857,117.0,1.53,21.5,0.977,5929.0,4.403,1.04,13.359,0,0,0,0
